demo,rung_num,rung,mode,run,wallclock_us,gflops
MatMulLadder,5,cuBLAS sgemm,on,1,322,6669.2
MatMulLadder,6,cuBLAS sgemm TF32,on,1,302,7110.9
MatMulLadder,1,naive @Parallel,on,2,779,2756.7
MatMulLadder,2,KernelContext tiled,on,2,656,3273.6
MatMulLadder,3,KernelContext register-tiled,on,2,386,5563.4
MatMulLadder,4,CUTLASS sgemm,on,2,384,5592.4
MatMulLadder,5,cuBLAS sgemm,on,2,322,6669.2
MatMulLadder,6,cuBLAS sgemm TF32,on,2,304,7064.1
MatMulLadder,1,naive @Parallel,on,3,812,2644.7
MatMulLadder,2,KernelContext tiled,on,3,668,3214.8
MatMulLadder,3,KernelContext register-tiled,on,3,389,5520.5
MatMulLadder,4,CUTLASS sgemm,on,3,385,5577.9
MatMulLadder,5,cuBLAS sgemm,on,3,324,6628.0
MatMulLadder,6,cuBLAS sgemm TF32,on,3,303,7087.4
MatMulLadder,1,naive @Parallel,on,4,781,2749.7
MatMulLadder,2,KernelContext tiled,on,4,663,3239.0
MatMulLadder,3,KernelContext register-tiled,on,4,395,5436.7
MatMulLadder,4,CUTLASS sgemm,on,4,386,5563.4
MatMulLadder,5,cuBLAS sgemm,on,4,326,6587.4
MatMulLadder,6,cuBLAS sgemm TF32,on,4,306,7017.9
MatMulLadder,1,naive @Parallel,on,5,776,2767.4
MatMulLadder,2,KernelContext tiled,on,5,663,3239.0
MatMulLadder,3,KernelContext register-tiled,on,5,399,5382.2
MatMulLadder,4,CUTLASS sgemm,on,5,385,5577.9
MatMulLadder,5,cuBLAS sgemm,on,5,328,6547.2
MatMulLadder,6,cuBLAS sgemm TF32,on,5,307,6995.1
