arm,duration_ns
handwritten_cuda,67456
handwritten_cuda,67359
handwritten_cuda,67488
handwritten_cuda,67359
handwritten_cuda,67360
handwritten_cuda,67519
handwritten_cuda,67200
handwritten_cuda,67423
handwritten_cuda,67360
handwritten_cuda,67296
handwritten_cuda,67775
handwritten_cuda,67359
handwritten_cuda,67488
handwritten_cuda,67392
handwritten_cuda,67519
handwritten_cuda,67776
handwritten_cuda,67520
handwritten_cuda,67711
handwritten_cuda,67488
handwritten_cuda,67487
handwritten_cuda,67551
