Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
845771196,1152,425,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
845777180,215810,429,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
846001374,7968,433,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846010270,8032,437,,,,,,,,,,0.131,16320.587,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846019263,1183,441,,,,,,,,,,0.000,20.287,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846022942,215810,445,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
846240992,8032,449,,,,,,,,,,0.131,16320.587,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846249984,7968,453,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846258913,1311,457,,,,,,,,,,0.000,18.307,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846268705,215841,461,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
846488802,8097,465,,,,,,,,,,0.131,16189.630,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846497826,7841,469,,,,,,,,,,0.131,16718.177,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846506594,1153,473,,,,,,,,,,0.000,20.815,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846514467,215777,477,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
846736612,8128,481,,,,,,,,,,0.131,16127.888,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846745700,7840,485,,,,,,,,,,0.131,16720.405,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846754469,1151,489,,,,,,,,,,0.000,20.851,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
846760228,215714,493,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
846982374,6080,497,,,,,,,,,,0.131,21560.437,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
847003238,6081,503,,,,,,,,,,0.131,21556.897,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
847019783,5984,509,,,,,,,,,,0.131,21906.378,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
847035783,6464,515,,,,,,,,,,0.131,20279.576,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
847051687,5984,521,,,,,,,,,,0.131,21906.378,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
847068007,6048,527,,,,,,,,,,0.131,21674.483,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
847083879,5984,533,,,,,,,,,,0.131,21906.378,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
847099911,6016,539,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
848506771,8032,547,,,,,,,,,,0.131,16320.587,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
848518547,7680,551,,,,,,,,,,0.131,17068.706,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
848565396,383,555,,,,,,,,,,0.000,62.663,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
848584820,215777,559,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
848804693,7936,563,,,,,,,,,,0.131,16518.137,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
848813590,7968,567,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
848822518,1376,571,,,,,,,,,,0.000,17.442,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
848826645,215714,575,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
849045560,8320,579,,,,,,,,,,0.131,15755.729,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849054807,7712,583,,,,,,,,,,0.131,16997.919,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849063448,1151,587,,,,,,,,,,0.000,20.851,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849072440,215713,591,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
849291513,7905,595,,,,,,,,,,0.131,16582.894,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849300378,7839,599,,,,,,,,,,0.131,16722.503,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849309146,1151,603,,,,,,,,,,0.000,20.851,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849316153,215682,607,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
849539323,7873,611,,,,,,,,,,0.131,16650.273,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849548156,8063,615,,,,,,,,,,0.131,16257.927,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849557148,1120,619,,,,,,,,,,0.000,21.429,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849561916,215682,623,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
849778941,7936,627,,,,,,,,,,0.131,16518.137,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849787838,8320,631,,,,,,,,,,0.131,15755.729,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849797117,1185,635,,,,,,,,,,0.000,20.253,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
849807678,215682,639,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
850026751,8225,643,,,,,,,,,,0.131,15937.679,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
850035904,7712,647,,,,,,,,,,0.131,16997.919,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
850044544,1152,651,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
850053408,215681,655,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
850274561,8193,659,,,,,,,,,,0.131,15999.946,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
850283682,8032,663,,,,,,,,,,0.131,16320.587,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
850292738,1184,667,,,,,,,,,,0.000,20.270,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
850299202,215714,671,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
850516228,6048,675,,,,,,,,,,0.131,21674.483,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
850549060,6016,681,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
850565796,5984,687,,,,,,,,,,0.131,21906.378,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
850583748,6496,693,,,,,,,,,,0.131,20179.687,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
850599684,6176,699,,,,,,,,,,0.131,21225.376,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
850615076,6048,705,,,,,,,,,,0.131,21674.483,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
850633125,6143,711,,,,,,,,,,0.131,21339.291,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
850660997,6048,717,,,,,,,,,,0.131,21674.483,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
855933200,8096,725,,,,,,,,,,0.131,16191.596,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
855945328,7872,729,,,,,,,,,,0.131,16652.371,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
855983153,384,733,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
855998257,215746,737,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
856215859,8096,741,,,,,,,,,,0.131,16191.596,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856224883,7840,745,,,,,,,,,,0.131,16720.405,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856233651,1440,749,,,,,,,,,,0.000,16.667,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856238419,215650,753,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
856460597,8064,757,,,,,,,,,,0.131,16255.830,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856469621,7840,761,,,,,,,,,,0.131,16720.405,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856478389,1152,765,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856482165,215649,769,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
856705334,8097,773,,,,,,,,,,0.131,16189.630,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856714359,7776,777,,,,,,,,,,0.131,16857.917,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856723063,1152,781,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856727927,215682,785,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
856944953,7680,789,,,,,,,,,,0.131,17068.706,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856953561,8064,793,,,,,,,,,,0.131,16255.830,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856962553,1152,797,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
856965497,215714,801,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
857184571,8096,805,,,,,,,,,,0.131,16191.596,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857193723,7968,809,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857202619,1152,813,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857211259,215714,817,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
857432381,8096,821,,,,,,,,,,0.131,16191.596,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857441437,7712,825,,,,,,,,,,0.131,16997.919,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857450141,1152,829,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857456989,215650,833,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
857680191,8192,837,,,,,,,,,,0.131,16001.912,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857689343,7808,841,,,,,,,,,,0.131,16788.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857698079,1152,845,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
857702751,215746,849,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
857920833,6080,853,,,,,,,,,,0.131,21560.437,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
857939905,6112,859,,,,,,,,,,0.131,21447.570,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
857954689,6016,865,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
857970785,6336,871,,,,,,,,,,0.131,20689.357,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
857985409,6144,877,,,,,,,,,,0.131,21335.883,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
858000097,6016,883,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
858014338,6016,889,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
858034498,6048,895,,,,,,,,,,0.131,21674.483,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Device-to-Host]
863296685,8160,903,,,,,,,,,,0.131,16064.703,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863306157,7680,907,,,,,,,,,,0.131,17068.706,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863347502,384,911,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
863365134,215713,915,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,computeSmall
