Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
879597239,215970,1627,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,17,computeSmall
879647192,8192,1631,,,,,,,,,,0.131,16001.912,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879656312,7840,1635,,,,,,,,,,0.131,16720.405,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879680184,384,1639,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879693016,215970,1644,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,18,computeSmall
879711000,7776,1648,,,,,,,,,,0.131,16857.917,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879719704,8000,1652,,,,,,,,,,0.131,16386.000,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879744184,385,1656,,,,,,,,,,0.000,62.338,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879756280,215714,1661,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,19,computeSmall
879775161,7968,1665,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879784057,7680,1669,,,,,,,,,,0.131,17068.706,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879805721,384,1673,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879817689,215746,1678,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,16,computeSmall
879834041,8000,1682,,,,,,,,,,0.131,16386.000,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879843001,7808,1686,,,,,,,,,,0.131,16788.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879868570,384,1690,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879880250,215778,1695,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,17,computeSmall
879897242,7680,1699,,,,,,,,,,0.131,17068.706,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879905850,7936,1703,,,,,,,,,,0.131,16518.137,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879929402,384,1707,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879940954,215650,1712,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,18,computeSmall
879957914,7616,1716,,,,,,,,,,0.131,17212.117,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
879967738,8032,1720,,,,,,,,,,0.131,16320.587,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
880010075,352,1724,,,,,,,,,,0.000,68.182,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
880034107,215714,1729,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,19,computeSmall
880049979,5984,1734,,,,,,,,,,0.131,21906.378,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
880062843,6016,1739,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
880075355,6368,1744,,,,,,,,,,0.131,20585.404,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
880086779,6400,1749,,,,,,,,,,0.131,20482.500,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
880102908,6207,1754,,,,,,,,,,0.131,21119.326,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
880114236,6208,1759,,,,,,,,,,0.131,21115.917,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
880161308,6016,1764,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
880252445,6272,1769,,,,,,,,,,0.131,20900.409,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
