Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.7,34346480,10,3434648.0,3434808.0,3433736,3435080,459.3,naive
34.0,26132183,10,2613218.3,2613663.0,2610927,2614063,1113.8,kcTiled
9.1,6963025,10,696302.5,695493.0,693364,699189,2012.1,kcRegisterTiled
5.2,3962870,10,396287.0,396203.5,395660,397228,539.2,"void cutlass::Kernel2<cutlass::gemm::kernel::DefaultGemmUniversal<float, cutlass::layout::RowMajor, (cutlass::ComplexTransform)0, (int)1, float, cutlass::layout::RowMajor, (cutlass::ComplexTransform)0, (int)1, float, cutlass::layout::RowMajor, float, cutlass::arch::OpClassSimt, cutlass::arch::Sm80, cutlass::gemm::GemmShape<(int)128, (int)128, (int)8>, cutlass::gemm::GemmShape<(int)32, (int)64, (int)8>, cutlass::gemm::GemmShape<(int)1, (int)1, (int)1>, cutlass::epilogue::thread::LinearCombination<float, (int)1, float, float, (cutlass::epilogue::thread::ScaleType::Kind)0, (cutlass::FloatRoundStyle)2, float>, cutlass::gemm::threadblock::GemmIdentityThreadblockSwizzle<(int)1>, (int)2, cutlass::arch::OpMultiplyAdd, (cutlass::gemm::SharedMemoryClearOption)0, (bool)0, (bool)0, (bool)0, cutlass::layout::NoPermute, cutlass::layout::NoPermute, cutlass::layout::NoPermute, void>::SelectBase<cutlass::gemm::threadblock::GemmIdentityThreadblockSwizzle<(int)1>, void>>(T1::Params)"
4.2,3200863,10,320086.3,320137.5,319370,320777,403.0,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
2.9,2255362,10,225536.2,225526.5,224998,225927,266.3,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x256_16x3_nn_align4>(T1::Params)
