Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
75.6,214241,368,582.2,352.0,351,2016,488.6,[CUDA memcpy Host-to-Device]
24.4,69251,50,1385.0,1376.0,1344,1888,75.1,[CUDA memcpy Device-to-Host]
