Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.4,25567,10,2556.7,2528.0,2496,2880,114.4,"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)"
37.3,21985,10,2198.5,2144.5,2112,2528,123.5,scale
19.2,11328,10,1132.8,1120.0,1088,1248,43.2,bias
