Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
98.0,506877,40,12671.9,448.0,352,70047,21485.4,[CUDA memcpy Host-to-Device]
2.0,10368,10,1036.8,1024.0,992,1120,40.5,[CUDA memcpy Device-to-Host]
