PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
658073,658077,0,20,19,8019.1,6846.0,6355,25152,4156.7,3918.0,2494.0,2151,21953,4432.3,1272.0,1312.0,61,1753,331.9,2899.2,2880.0,2847,3328,103.5,cuLaunchKernel,"void vector_fft_r2c<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)5, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
658073,658077,0,20,20,6838.6,6663.0,6202,10480,909.1,2379.3,2146.0,1736,6605,1033.9,1414.5,1448.0,611,1678,208.5,3044.8,3040.0,2976,3264,60.0,cuLaunchKernel,"void vector_fft_c2r<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)5, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
658073,658077,0,20,20,5360.6,4580.0,4267,16349,2679.0,2814.1,1956.5,1661,14481,2839.4,1460.3,1507.0,524,1670,236.7,1086.3,1087.5,1055,1344,62.7,cuLaunchKernel,lowPass
658073,658077,0,20,20,4921.3,4519.5,4321,8251,1075.9,2224.9,1796.0,1543,6299,1290.1,1467.7,1516.5,608,1669,255.7,1228.8,1216.0,1215,1344,30.1,cuLaunchKernel,scaleBy
