PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
658479,658483,0,1,1,22942.0,22942.0,22942,22942,0.0,21298.0,21298.0,21298,21298,0.0,44.0,44.0,44,44,0.0,1600.0,1600.0,1600,1600,0.0,cuLaunchKernel,gemmScalarFp16
658479,658483,0,1,0,17897.0,17897.0,17897,17897,0.0,15954.0,15954.0,15954,15954,0.0,,,,,0.0,2656.0,2656.0,2656,2656,0.0,cuLaunchKernel,gemmMMASingleTile
