demo,kernel,implementation,metric,unit,value,launches,source,file
14-warp-async-shared,cuEventRecord,TornadoVM,api_calls,count,2172.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuEventRecord,TornadoVM,api_total_time,ns,775767.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuLaunchKernel,TornadoVM,api_calls,count,40.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuLaunchKernel,TornadoVM,api_total_time,ns,156173.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemAlloc_v2,TornadoVM,api_calls,count,13.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemAlloc_v2,TornadoVM,api_total_time,ns,460583.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemFree_v2,TornadoVM,api_calls,count,3.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemFree_v2,TornadoVM,api_total_time,ns,71951.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemHostRegister_v2,TornadoVM,api_calls,count,5.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemHostRegister_v2,TornadoVM,api_total_time,ns,584415.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemcpyDtoHAsync_v2,TornadoVM,api_calls,count,808.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemcpyDtoHAsync_v2,TornadoVM,api_total_time,ns,3999593.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemcpyHtoDAsync_v2,TornadoVM,api_calls,count,812.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuMemcpyHtoDAsync_v2,TornadoVM,api_total_time,ns,996924.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuModuleGetLoadingMode,CUDA,api_calls,count,1.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cuModuleGetLoadingMode,CUDA,api_total_time,ns,1954.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cuModuleLoadDataEx,TornadoVM,api_calls,count,2.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuModuleLoadDataEx,TornadoVM,api_total_time,ns,84491.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuStreamCreate,TornadoVM,api_calls,count,3.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuStreamCreate,TornadoVM,api_total_time,ns,24549.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuStreamIsCapturing,TornadoVM,api_calls,count,1576.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuStreamIsCapturing,TornadoVM,api_total_time,ns,69150.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuStreamSynchronize,TornadoVM,api_calls,count,1656.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cuStreamSynchronize,TornadoVM,api_total_time,ns,3945183.0,1,nsys-api,25-host-dispatch-breakdown/warp14-cuda_api_sum.csv
14-warp-async-shared,cudaFree,CUDA,api_calls,count,3.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cudaFree,CUDA,api_total_time,ns,125837.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cudaLaunchKernel,CUDA,api_calls,count,40.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cudaLaunchKernel,CUDA,api_total_time,ns,136543.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cudaMalloc,CUDA,api_calls,count,3.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cudaMalloc,CUDA,api_total_time,ns,94013982.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cudaMemcpy,CUDA,api_calls,count,41.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,cudaMemcpy,CUDA,api_total_time,ns,2939585.0,1,nsys-api,25-host-dispatch-breakdown/cuda14-cuda_api_sum.csv
14-warp-async-shared,rowSumNaive,CUDA,bank_conflicts,count,3685585.0,3,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumNaive,CUDA,bytes_used_per_sector,percent,3.12,3,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumNaive,CUDA,dram_bytes_read,bytes,4198784.0,3,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumNaive,CUDA,global_load_sectors,sectors,4194304.0,3,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumNaive,CUDA,instructions_executed,count,259456.0,3,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumNaive,CUDA,kernel_time_ncu,ns,120800.0,3,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumNaive,CUDA,kernel_time_nsys,ns,105865.4,1,nsys,25-host-dispatch-breakdown/cuda14-cuda_gpu_kern_sum.csv
14-warp-async-shared,rowSumNaive,CUDA,sectors_per_request_load,sectors,32.0,3,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumNaive,TornadoVM,bank_conflicts,count,3944385.6667,3,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumNaive,TornadoVM,bytes_used_per_sector,percent,3.12,3,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumNaive,TornadoVM,dram_bytes_read,bytes,4371669.3333,3,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumNaive,TornadoVM,global_load_sectors,sectors,4194304.0,3,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumNaive,TornadoVM,instructions_executed,count,487040.0,3,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumNaive,TornadoVM,kernel_time_ncu,ns,120021.3333,3,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumNaive,TornadoVM,kernel_time_nsys,ns,105643.1,1,nsys,25-host-dispatch-breakdown/warp14-cuda_gpu_kern_sum.csv
14-warp-async-shared,rowSumNaive,TornadoVM,sectors_per_request_load,sectors,32.0,3,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumOptimised,CUDA,bank_conflicts,count,269.0,1,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumOptimised,CUDA,bytes_used_per_sector,percent,0.0,1,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumOptimised,CUDA,dram_bytes_read,bytes,4199552.0,1,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumOptimised,CUDA,global_load_sectors,sectors,131072.0,1,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumOptimised,CUDA,instructions_executed,count,1658880.0,1,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumOptimised,CUDA,kernel_time_ncu,ns,7040.0,1,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumOptimised,CUDA,kernel_time_nsys,ns,4251.3,1,nsys,25-host-dispatch-breakdown/cuda14-cuda_gpu_kern_sum.csv
14-warp-async-shared,rowSumOptimised,CUDA,sectors_per_request_load,sectors,4.0,1,ncu,24-ncu-demo14-counters/ncu-cuda14.csv
14-warp-async-shared,rowSumOptimised,TornadoVM,bank_conflicts,count,220.0,1,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumOptimised,TornadoVM,bytes_used_per_sector,percent,0.0,1,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumOptimised,TornadoVM,dram_bytes_read,bytes,4198272.0,1,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumOptimised,TornadoVM,global_load_sectors,sectors,163840.0,1,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumOptimised,TornadoVM,instructions_executed,count,1134592.0,1,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumOptimised,TornadoVM,kernel_time_ncu,ns,7200.0,1,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
14-warp-async-shared,rowSumOptimised,TornadoVM,kernel_time_nsys,ns,3940.9,1,nsys,25-host-dispatch-breakdown/warp14-cuda_gpu_kern_sum.csv
14-warp-async-shared,rowSumOptimised,TornadoVM,sectors_per_request_load,sectors,5.0,1,ncu,24-ncu-demo14-counters/ncu-tornado14.csv
15-alignment-probe,elementwise,CUDA,dram_bytes_read,bytes,16779968.0,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,elementwise,CUDA,dram_bytes_write,bytes,0.0,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,elementwise,CUDA,global_load_sectors,sectors,589824.0,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,elementwise,CUDA,global_store_sectors,sectors,589824.0,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,elementwise,CUDA,sectors_per_request_load,sectors,4.5,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,elementwise,CUDA,sectors_per_request_store,sectors,4.5,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,stencil,CUDA,dram_bytes_read,bytes,16780224.0,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,stencil,CUDA,dram_bytes_write,bytes,0.0,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
15-alignment-probe,stencil,CUDA,global_load_sectors,sectors,1900543.0,2,ncu,22-ncu-alignment-counters/ncu-probe-offsets.csv
