Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
4.194,1,4.194,4.194,4.194,4.194,0.000,[CUDA memcpy Host-to-Device]
0.655,40,0.016,0.016,0.016,0.016,0.000,[CUDA memcpy Device-to-Host]

